,Expediente,ID de publicación en TED,Órgano de Contratación,ID del Órgano de Contratación,Estado de la Licitación,Objeto del contrato,Financiación UE,Presupuesto base de licitación sin impuestos,Valor estimado del contrato:,Tipo de Contrato:,Código CPV,Lugar de Ejecución,Sistema de contratación,Procedimiento de contratación,Tipo de tramitación,Método de presentación de la oferta,Fecha fin de presentación de oferta,Resultado,Adjudicatario,Nº de Licitadores Presentados,Importe de Adjudicación,Lote / Descripción ,Fecha fin de presentación de solicitud
10,10C_2022_2,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento simplificado abreviado del contrato de servicios del seguro colectivo de accidentes y defensa jurídica para voluntarios de Protección Civil,No hay financiación con fondos de la UE,"4,000.00 Euros","12,000.00 Euros",Servicios,"66510000-Servicios de seguros., 66512000-Servicios de seguros de accidentes y de enfermedad., 66512100-Servicios de seguros de accidentes., 66513100-Servicios de seguros de defensa jurídica.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,12/05/2022 23:59,Adjudicado,"Helvetia Compañía Suiza, Sociedad Anónima de Seguros y Reaseguros",1,"2,598.50 Euros",No disponible,nan
11,6A1_2020_81,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicio de Dirección de Obra (dirección facultativa) correspondientes a las obras del Proyecto de finalización de las obras de urbanización del POL-S10.01 del ámbito del Parque Ofimático correspondientes con la primera etapa recogida en la modificación del plan parcial vigente.,No hay financiación con fondos de la UE,"310,039.94 Euros","310,039.94 Euros",Servicios,"71240000-Servicios de arquitectura, ingeniería y planificación.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,nan,Adjudicado,"Eptisa Servicios de Ingeniería, S.L.",2,"272,835.15 Euros",No disponible,nan
12,430_2021_4,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Parcialmente Resuelta,"Servicio de vending del Ayuntamiento de A Coruña (instalación, mantenimiento y explotación de 117 máquinas expendedoras de bebidas calientes, y de bebidas frías y productos sólidos en distintas dependencias de titularidad municipal).",,0.00 Euros,"2,927,925.00 Euros",Suministros,42933300-Máquinas automáticas distribuidoras de productos.,España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,15/04/2021 23:59,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
13,105_2021_271,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Procedimiento Simplificado Abreviado para el renting de una furgoneta mixta de carga y 5 pasajeros para el Área de Igualdad, Bienestar Social y Participación",,"10,296.12 Euros","17,160.20 Euros",Suministros,34100000-Vehículos de motor.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Desierto,,0,Euros,No disponible,nan
14,521_2020_244 Pasarelas,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Mantenimiento, conservación y reparación de las pasarelas peatonales y puentes con acceso peatonal comprendidas dentro del término municipal del Ayuntamiento de A Coruña y que sean de titularidad municipal",,"289,256.20 Euros","1,446,281.00 Euros",Servicios,"50230000-Servicios de reparación, mantenimiento y servicios asociados relacionados con carreteras y otros equipos., 45221119-Trabajos de renovación de puentes., 71631450-Servicios de inspección de puentes.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,30/06/2020 23:59,Adjudicado,DIEZ Y COMPAÑIA S.A.,3,"289,256.20 Euros",No disponible,nan
15,244_2020_377,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Procedimiento simplificado abreviado para la contratación del servicio para la organización, gestión y ejecución de la tienda solidaria de Navidad.",,"16,792.55 Euros","33,585.10 Euros",Servicios,98390000-Otros servicios.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,22/09/2020 23:59,Adjudicado,PUERTAS AFUERA COMUNICACION MEDIOAMBIENTAL Y CULTURAL SL,3,"14,273.00 Euros",No disponible,nan
16,831_2019_79,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicio de limpieza de las instalaciones del Parque de Bomberos del Ayuntamiento de A Coruña,,"43,801.65 Euros","87,603.30 Euros",Servicios,"90911000-Servicios de limpieza de viviendas, edificios y ventanas.",España - A Coruña,,Abierto simplificado,Ordinaria,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
17,237_2018_123,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Prestación del servicio denominado implementación del “pacto social por una Coruña libre de violencias machistas” en los ámbitos de medios de comunicación, hostelería, locales de ocio nocturno y tejido asociativo",,"104,241.53 Euros","191,480.60 Euros",Servicios,"79950000-Servicios de organización de exposiciones, ferias y congresos., 80510000-Servicios de formación especializada., 85312300-Servicios de orientación y asesoramiento.",España - A Coruña,,Abierto,Ordinaria,Manual,nan,Adjudicado,DESENVOLVEMENTO LOCAL GALEGO S.L.,4,"93,800.00 Euros",No disponible,nan
18,237_2018_188,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicio denominado “Espazo Diverso” dedicado a las diversidades sexuales e identidades de género en la ciudad de A Coruña, dirigido a personas y colectivos LGTBQI en asuntos relacionados con la diversidad sexual, los derechos humanos y la igualdad efectiva",,"77,240.69 Euros","456,705.71 Euros",Servicios,"85312300-Servicios de orientación y asesoramiento., 79952000-Servicios de eventos.",España - A Coruña,,Abierto,Urgente,Manual,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
19,541_2018_2293,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Procedimiento simplificado abreviado para el montaje, desmontaje, mantenimiento y almacenamiento de los stands de socorrismo, educación ambiental, aseos y pasarelas de madera en las playas del término municipal de A Coruña para la temporada de baño 2019",,"24,990.00 Euros","24,990.00 Euros",Servicios,"45223800-Montaje e instalación de estructuras prefabricadas., 50000000-Servicios de reparación y mantenimiento.",España - A Coruña,,Abierto simplificado,Ordinaria,Manual,18/02/2019 14:00,Adjudicado,Cimbra contracts S.L.,2,"22,193.50 Euros",No disponible,nan
20,238_2018_568,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicio de limpieza de los locales adscritos al Departamento de Participación de la Concejalía de Participación e Innovación Democrática del Ayuntamiento de A Coruña,,"34,650.00 Euros","34,650.00 Euros",Servicios,"90911000-Servicios de limpieza de viviendas, edificios y ventanas.",España - A Coruña,,Abierto simplificado,Ordinaria,Manual,nan,Adjudicado,"CLN Incorpora, S.L.",3,"23,036.36 Euros",No disponible,nan
21,230_2024_213,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Suministro de módulos que formarán para de una nueva exposición denominada ""Minidomus"", incluido el diseño e instalación, en la sala del nivel 1 de la Domus",No hay financiación con fondos de la UE,"132,855.17 Euros","132,855.17 Euros",Suministros,39154000-Equipamiento de exposición.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,13/11/2024 23:59,Adjudicado,"interiores galicia, s.l.",1,"129,855.17 Euros",No disponible,nan
22,211_2024_749,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Contrato mixto de obras y suministro para la colocación de las barreras de protección en la Ciudad Deportiva de La Torre,No hay financiación con fondos de la UE,"88,646.32 Euros","88,646.32 Euros",Obras,"45340000-Trabajos de instalación de barandillas, pasamanos y dispositivos de seguridad., 45342000-Instalación de barandillas.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"Cimbra Contracts, S.L.",2,"84,500.00 Euros",No disponible,nan
23,521_2021_930,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Obras contenidas en el proyecto de nueva zona de ocio infantil en el barrio de A Silva,No hay financiación con fondos de la UE,"345,191.20 Euros","345,191.20 Euros",Obras,"45212100-Trabajos de construcción de instalaciones de ocio., 43325000-Equipo para parques y áreas de juego.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"CITANIAS OBRAS Y SERVICIOS, S.L.U.",5,"318,369.84 Euros",No disponible,nan
24,231/2022/231,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Acuerdo Marco de suministro de fondos bibliográficos y audiovisuales con destino a la red municipal de bibliotecas del Ayuntamiento de A Coruña, por lotes",No hay financiación con fondos de la UE,"1,546.69 Euros","1,546.69 Euros",Suministros,"22113000-Libros para biblioteca., 32321300-Materiales audiovisuales.",España - A Coruña,Contrato basado en un Acuerdo Marco,Abierto,Ordinaria,Manual,nan,Adjudicado,"BIZKAIKO ELKAR, S.L.",1,"1,329.39 Euros",No disponible,nan
25,521_2020_946,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Procedimiento abierto simplificado para la contratación de las obras contenidas en el proyecto de ""mejora de accesibilidad en el itinerario entre Avenida Peruleiro y Calle Barcelona”, financiado por la Unión Europea - Next Generation","Asociado al Plan de Recuperación, Transformación y Resiliencia","503,545.75 Euros","503,545.75 Euros",Obras,45233252-Trabajos de pavimentación de calles.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,MANUEL RIVAS BOQUETE S.L.,6,"483,402.48 Euros",No disponible,nan
26,526_2023_19 L4,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicios para la Impartición de Acciones Formativas Presenciales del Servicio Municipal de Empleo y Empresa. Programación 2/23. LOTE 4 (manipulación de carga con carretillas elevadoras),No hay financiación con fondos de la UE,"139,794.79 Euros","139,794.79 Euros",Servicios,80000000-Servicios de enseñanza y formación.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,SARARTE S.L,2,"17,419.83 Euros",No disponible,nan
27,236_2023_54,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Parcialmente Resuelta,"Servicio de gestión del programa educativo municipal ""Idiomas do Mundo"", para la realización de 28 estancias de cuatro semanas en Irlanda o Francia para el aprendizaje de idiomas por parte de alumnado de 1º de bachillerato",No hay financiación con fondos de la UE,"132,843.20 Euros","132,843.20 Euros",Servicios,63515000-Servicios de viajes.,España - A Coruña,No aplica,Abierto simplificado,Urgente,Electrónica,27/03/2023 23:59,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
28,GEY_2022_226,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento abierto simplificado abreviado para contratar el suministro de libros encuadernados que contengan las resoluciones y acuerdos de los órganos corporativos del Ayuntamiento de A Coruña,No hay financiación con fondos de la UE,"5,944.40 Euros","17,833.20 Euros",Suministros,22110000-Libros impresos.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,13/03/2023 23:59,Adjudicado,Moret,1,40.00 Euros,No disponible,nan
29,521_2021_241,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Obras de Saneamiento Separativo en la calle Torino (POS+2022) Plan Provincial de Cooperación a las Obras y Servicios de Competencia Municipal (Plan Único de Ayuntamientos),No hay financiación con fondos de la UE,"91,347.89 Euros","91,347.89 Euros",Obras,45232410-Obras de saneamiento.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"Obras Ramón Cotelo, S.L.",4,"81,300.00 Euros",No disponible,nan
30,A31_2022_55,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Soporte Integral de las plataformas ""Sistemas de Gestión de la formación"" y ""Sistema de control de puestos""",No hay financiación con fondos de la UE,"6,000.00 Euros","18,000.00 Euros",Servicios,72267100-Mantenimiento de «software» de tecnología de la información.,España - A Coruña,No aplica,Negociado sin publicidad,Ordinaria,Electrónica,nan,Formalizado,"Imatia Innovation, S.L.",1,"6,000.00 Euros",No disponible,nan
31,526_2022_71,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento abierto simplificado abreviado para contratar el servicio de impartición de módulos formativos preparatorios de competencias clave de nivel 2 y el traslado del alumnado al centro examinador,No hay financiación con fondos de la UE,"9,094.14 Euros","18,188.28 Euros",Servicios,80000000-Servicios de enseñanza y formación.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,07/04/2022 23:59,Adjudicado,SARARTE S.L,5,"5,865.72 Euros",No disponible,nan
32,6A1_2021_28,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento abierto simplificado abreviado para la contratación del Servicio de copia y/o escaneado de los expedientes y documentos administrativos del Área de Urbanismo,,"6,000.00 Euros","12,000.00 Euros",Servicios,"79521000-Servicios de fotocopia., 79999100-Servicios de escaneado.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,25/08/2021 23:59,Adjudicado,"EKS Galicia Inteligencia de Mercados, S.L.",2,"5,880.00 Euros",No disponible,nan
33,831_2019_62,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,"Servicio de mantenimiento de los equipos de respiración autónoma (ERA), botellas de aire comprimido de los ERA, equipos de buceo y compresores del SEIS",,"17,355.37 Euros","86,776.85 Euros",Servicios,"50500000-Servicios de reparación y mantenimiento de bombas, válvulas, grifos, contenedores metálicos y maquinaria., 50413100-Servicios de reparación y mantenimiento de equipos detectores de gas., 50510000-Servicios de reparación y mantenimiento de bombas, válvulas, grifos y contenedores de metal., 50531300-Servicios de reparación y mantenimiento de compresores., 50610000-Servicios de reparación y mantenimiento de equipos de seguridad.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
34,831_2021_129,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Suministro de 13 lotes de Equipos de Protección individual y otros equipos y materiales de trabajo para el Servicio de Extinción de incendios y salvamento del Ayuntamiento de A Coruña,No hay financiación con fondos de la UE,"111,074.38 Euros","111,074.38 Euros",Suministros,"35100000-Equipo de emergencia y seguridad., 18141000-Guantes de trabajo., 18444000-Tocados de protección., 18831000-Calzado con puntera metálica de protección., 18900000-Artículos de viaje, talabartería, sacos y bolsas., 18930000-Sacos y talegas., 31521320-Linternas., 33721000-Navajas., 35111100-Aparatos respiratorios para extinción de incendios., 35111200-Materiales para extinción de incendios., 35111400-Equipo de evacuación de emergencia., 35112000-Equipo de salvamento y emergencia., 35112100-Maniquíes para la formación sobre situaciones de emergencia., 35112200-Ducha de emergencia., 35113400-Ropa de protección y de seguridad., 35121000-Aparatos e instrumentos de seguridad., 35800000-Equipo individual y de apoyo., 35810000-Equipo individual., 35814000-Máscaras de gas., 37412200-Escafandras y equipo de buceo., 37412240-Instrumentos de buceo y sus accesorios., 37412243-Trajes protectores contra inmersión en agua fría., 37412260-Trajes húmedos., 37412270-Trajes secos., 38400000-Instrumentos de medida o control de características físicas., 42600000-Máquinas herramienta., 42650000-Herramientas manuales neumáticas o con motor., 44480000-Equipos diversos contra incendios., 44482100-Mangueras para incendios.",España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
35,244_2020_149,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Formación y educación en consumo de la Oficina municipal de Información a las personas consumidoras,,"49,927.12 Euros","99,854.24 Euros",Servicios,80500000-Servicios de formación.,España - A Coruña,,Abierto simplificado,Ordinaria,Electrónica,15/05/2020 23:59,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
36,521_2018_1000,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Obras comprendidas en el proyecto de ampliación de la zona de juegos y zona acolchada infantil de la Plaza Elíptica.,,"165,289.25 Euros","165,289.25 Euros",Obras,45236210-Trabajos de explanación de áreas de juego para niños.,España - A Coruña,,Abierto simplificado,Ordinaria,Electrónica,nan,Adjudicado,"Construcciones Ramón Vázquez y Reino, S.L.",8,"132,200.00 Euros",No disponible,nan
37,CI1_2019_129,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento simplificado abreviado para el suministro de publicaciones con destino a la Biblioteca del Museo Arqueológico e Histórico Castillo de San Antón,,673.08 Euros,"3,365.38 Euros",Suministros,22113000-Libros para biblioteca.,España - A Coruña,,Abierto simplificado,Ordinaria,Electrónica,24/05/2019 23:59,Adjudicado,Xiada S.l.,2,673.08 Euros,No disponible,nan
38,238_2018_844,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Procedimiento simplificado abreviado para el servicio de limpieza de los locales adscritos al departamento de Juventud de la Concellaría de Participación e Innovación Democrática del Concello de Coruña,,"8,264.46 Euros","8,264.46 Euros",Servicios,90910000-Servicios de limpieza.,España - A Coruña,,Abierto simplificado,Ordinaria,Manual,nan,Adjudicado,CLN Servicios Integrales S.L,4,"7,330.20 Euros",No disponible,nan
39,CI1_2018_445,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Procedimiento simplificado abreviado para el contrato de obra de reparación de las galerías traseras de la Casa Museo Picasso,,"6,304.69 Euros","6,304.69 Euros",Obras,"45422100-Trabajos en madera., 45440000-Trabajos de pintura y acristalamiento., 45442121-Trabajos de pintura de estructuras., 45442180-Trabajos de renovación de pintura., 45442190-Trabajos de decapado de pintura.",España - A Coruña,,Abierto simplificado,Ordinaria,Manual,nan,Adjudicado,"Obras Ramón Cotelo, S.L.",2,"5,123.97 Euros",No disponible,nan
40,831_2024_37,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Parcialmente Resuelta,"Contrato del servicio de mantenimiento y reparación integral de los vehículos del servicio de prevención, extinción de incendios y salvamento (SEIS) del Ayuntamiento de A Coruña, por lotes",No hay financiación con fondos de la UE,"95,363.99 Euros","190,727.98 Euros",Servicios,"50110000-Servicios de reparación y mantenimiento de vehículos de motor y equipo asociado., 50112110-Servicios de reparación de carrocerías de vehículos., 50116100-Servicios de reparación de sistemas eléctricos., 50116200-Servicios de reparación y mantenimiento de frenos y partes de frenos de vehículos., 50116300-Servicios de reparación y mantenimiento de cajas de cambio de vehículos., 50116400-Servicios de reparación y mantenimiento de transmisiones de vehículos., 50116500-Servicios de reparación de neumáticos, incluidos el ajuste y el equilibrado de ruedas.",España - A Coruña,No aplica,Abierto,Ordinaria,Electrónica,04/12/2024 23:59,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,Ver detalle de la adjudicación,No disponible,nan
41,231/2022/231,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Acuerdo Marco de suministro de fondos bibliográficos y audiovisuales con destino a la red municipal de bibliotecas del Ayuntamiento de A Coruña, por lotes",No hay financiación con fondos de la UE,"1,529.86 Euros","1,529.86 Euros",Suministros,22113000-Libros para biblioteca.,España - A Coruña,Contrato basado en un Acuerdo Marco,Abierto,Ordinaria,Electrónica,nan,Adjudicado,"Bookish Ventures, SL",3,"1,529.86 Euros",No disponible,nan
42,231/2022/231,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,"Acuerdo Marco de suministro de fondos bibliográficos y audiovisuales con destino a la red municipal de bibliotecas del Ayuntamiento de A Coruña, por lotes",No hay financiación con fondos de la UE,"1,454.98 Euros","1,760.53 Euros",Suministros,22113000-Libros para biblioteca.,España - A Coruña,Contrato basado en un Acuerdo Marco,Abierto,Ordinaria,Manual,nan,Adjudicado,"BIZKAIKO ELKAR, S.L.",1,"1,454.98 Euros",No disponible,nan
43,000_2024_6,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Servicio de interpretación de lengua de signos que se prestará en plenos y en actos institucionales del Ayuntamiento de A Coruña.,No hay financiación con fondos de la UE,"8,248.88 Euros","24,746.64 Euros",Servicios,98133000-Servicios prestados por asociaciones de carácter social.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Desierto,,0,Euros,No disponible,nan
44,211_2024_23,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Adjudicada,Procedimiento abierto simplificado abreviado suministro de los trofeos para la edición del año 2024 del Trofeo Teresa Herrera de Fútbol masculino y femenino,No hay financiación con fondos de la UE,"53,676.00 Euros","53,676.00 Euros",Suministros,39298700-Trofeos.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,22/03/2024 23:59,Adjudicado,ORFEBRERIA CASTELLANA SL,1,"53,676.00 Euros",No disponible,nan
45,236_2023_57,,Junta de Gobierno del Ayuntamiento de A Coruña,31016830145443,Resuelta,Procedimiento abierto simplificado para la contratación del servicio de transporte de viajeros destinado al alumnado que participe en actividades integradas en la programación educativa municipal desarrollada por el Servicio Municipal de Educación durante el curso escolar.,No hay financiación con fondos de la UE,"58,050.00 Euros","116,100.00 Euros",Servicios,60130000-Servicios especiales de transporte de pasajeros por carretera.,España - A Coruña,No aplica,Abierto simplificado,Ordinaria,Electrónica,nan,Formalizado,"AUTOCARES ANTONIO VAZQUEZ, S. A.",3,"58,050.00 Euros",No disponible,nan
